Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,11.8,11.8,11.5,11.5,53
2022-01-04,11.65,11.65,11.55,11.65,2171
2022-01-05,11.65,11.65,11.2,11.45,3242
2022-01-07,11.35,11.45,11.3,11.45,668
2022-01-10,11.4,11.5,11.4,11.4,1310
2022-01-11,11.5,11.5,11.2,11.5,3175
2022-01-12,11.5,11.55,11.4,11.4,4044
2022-01-13,11.45,11.65,11.45,11.6,2211
2022-01-14,11.5,11.55,11.3,11.5,1365
2022-01-17,11.6,11.6,11.25,11.4,1066
2022-01-18,11.35,11.35,11.35,11.35,113
2022-01-19,11.3,11.35,11.15,11.3,2271
2022-01-20,11.2,11.25,11.2,11.2,694
2022-01-21,11.15,11.15,11.15,11.15,1292
2022-01-24,11.15,11.6,10.5,10.6,8195
2022-01-25,10.8,10.9,10.8,10.8,350
2022-01-26,11,11.15,10.55,11,2047
2022-01-27,10.65,11,10.65,11,1560
2022-01-28,10.75,10.75,10.65,10.75,456
2022-01-31,10.8,11.15,10.8,10.8,920
2022-02-01,10.9,11,10.8,11,913
2022-02-02,11,11,10.7,10.7,7881
2022-02-03,11,11,10.7,10.85,3625
2022-02-04,10.85,10.95,10.7,10.95,426
2022-02-07,10.85,10.85,10.7,10.85,1613
2022-02-08,10.9,10.9,10.9,10.9,6
2022-02-09,10.75,10.95,10.75,10.95,1894
2022-02-10,10.95,10.95,10.95,10.95,19
2022-02-11,10.95,11.15,10.95,11.15,339
2022-02-14,11.15,11.15,10.75,11.15,1554
2022-02-15,11,11,10.65,11,1863
2022-02-16,10.7,11,10.7,11,181
2022-02-17,11,11,10.9,10.9,96
2022-02-18,10.65,11,10.5,10.5,6107
2022-02-21,10.7,10.7,10.25,10.4,6338
2022-02-22,10.05,10.4,10.05,10.35,994
2022-02-23,10.35,10.35,9.98,10.35,4558
2022-02-24,10,10,9.3,9.9,6723
2022-02-25,10.2,10.2,9.72,10.2,5535
2022-02-28,10.5,10.5,10,10.2,5435
2022-03-01,10.45,10.45,10,10,4520
2022-03-02,10,10.6,9.8,10.4,8416
2022-03-03,11.6,12,10.5,11.7,39558
2022-03-04,11.9,11.9,10.6,11.05,7319
2022-03-07,11,11.65,10.9,11.45,9643
2022-03-08,11.65,11.7,11,11.5,7904
2022-03-09,11.1,11.5,11.05,11.1,4884
2022-03-10,11,11.5,10.75,11.35,6820
2022-03-11,11,11.5,11,11.45,2346
2022-03-14,11.3,11.6,10.55,11.6,13241
2022-03-15,11.6,11.6,11.15,11.55,2771
2022-03-16,11.55,11.55,11.2,11.4,1324
2022-03-17,11.4,11.4,11.35,11.4,698
2022-03-18,11.4,11.5,11.35,11.5,12660
2022-03-21,11.8,13.7,11.8,13.35,145543
2022-03-22,13.4,13.45,12.7,13.15,48596
2022-03-23,13.2,13.2,12.6,12.8,16248
2022-03-24,12.8,12.95,12.55,12.95,10154
2022-03-25,13,13,12.7,13,8199
2022-03-28,12.6,13.1,12.6,12.95,7770
2022-03-29,12.95,12.95,12.65,12.75,4446
2022-03-30,12.65,12.7,12.2,12.35,9330
2022-03-31,12.7,12.7,12.05,12.2,9471
2022-04-01,12.2,12.4,12.15,12.2,6732
2022-04-04,12.2,12.4,12.05,12.4,7204
2022-04-05,12.4,12.45,12,12.2,4307
2022-04-06,12.1,12.1,12,12,5311
2022-04-07,12.35,13,12.3,12.3,20570
2022-04-08,12.5,12.5,12.2,12.4,2590
2022-04-11,12.7,12.7,12.3,12.55,1880
2022-04-12,12.3,12.55,12.2,12.3,3800
2022-04-13,12.55,12.55,12.2,12.2,3559
2022-04-14,12.2,12.35,12,12.35,6574
2022-04-19,12.35,12.4,12.2,12.35,3420
2022-04-20,12.15,12.45,12.15,12.15,580
2022-04-21,12.25,12.3,12.25,12.25,1124
2022-04-22,12.2,12.4,12.1,12.4,3672
2022-04-25,12.4,12.5,12,12.05,9004
2022-04-26,12.15,12.35,11.7,11.75,6479
2022-04-27,11.75,11.75,11.15,11.2,4782
2022-04-28,11.2,11.5,11.1,11.2,2111
2022-04-29,11.1,11.4,11.1,11.4,91
2022-05-02,11.45,11.45,11.15,11.25,601
